                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0123,                 5.0255,                 4.1625,                0.00022,                 0.0208,                0.00013,                  4e-05,                 3.8784,                 4.4293,                 4.1138,             0.00046641,             0.00046641,             0.00046641
                      2,                 3.4264,                 4.2013,                 3.6655,                0.00036,                0.01904,                0.00022,                  7e-05,                 3.9029,                 4.7995,                 4.2354,             0.00093341,             0.00093341,             0.00093341
                      3,                 2.6935,                 3.2128,                 2.5821,                 0.6922,                0.03588,                 0.0112,                0.00403,                 2.8624,                  4.693,                 3.1179,               0.001391,               0.001391,               0.001391
                      4,                 2.3559,                 2.7276,                 2.1574,                0.75767,                0.11813,                 0.0798,                0.03299,                 2.2435,                 2.9474,                 2.2248,              0.0013866,              0.0013866,              0.0013866
                      5,                 2.1622,                 2.3269,                 1.9588,                0.60694,                0.18125,                0.20887,                0.10906,                  1.894,                 2.3158,                 1.9032,              0.0013724,              0.0013724,              0.0013724
                      6,                 2.0189,                 2.0606,                 1.8227,                0.91265,                0.22825,                0.28037,                0.14468,                 1.7318,                 1.8353,                 1.7436,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.9027,                  1.905,                 1.7204,                0.73475,                0.29427,                0.31212,                0.15627,                 1.7339,                 1.7124,                 1.7243,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.8409,                 1.7485,                 1.6308,                0.70359,                0.33542,                0.36902,                0.20696,                 1.5895,                  1.493,                  1.638,                0.00133,                0.00133,                0.00133
                      9,                 1.8179,                 1.7229,                 1.6311,                0.81051,                0.32977,                0.40318,                0.22783,                 1.5271,                 1.4822,                 1.5933,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.7511,                 1.5944,                  1.607,                0.65558,                0.38314,                0.41707,                0.23653,                 1.4935,                 1.3684,                 1.5271,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.7299,                 1.5208,                 1.5207,                0.70305,                0.39119,                0.46046,                0.26248,                  1.506,                 1.3391,                 1.5511,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.6101,                 1.4823,                 1.4821,                0.46445,                 0.3572,                0.42532,                0.23675,                 1.4665,                 1.3184,                 1.5047,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.6192,                 1.4127,                 1.4538,                0.72184,                0.38773,                0.46609,                0.26695,                 1.4567,                 1.1992,                 1.5174,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.5697,                 1.3339,                  1.413,                0.65455,                0.46104,                0.50037,                0.28704,                 1.3845,                 1.1105,                 1.4448,              0.0012451,              0.0012451,              0.0012451
                     15,                  1.552,                 1.3284,                 1.4441,                0.53651,                0.47966,                0.48837,                0.28631,                 1.3977,                 1.0838,                 1.4673,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.5227,                 1.2948,                 1.4122,                0.50312,                 0.4031,                0.47957,                0.26971,                 1.4281,                 1.1001,                 1.4938,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.4866,                 1.2622,                 1.4014,                 0.6931,                0.45992,                0.50473,                0.29487,                 1.3606,                 1.0452,                 1.4264,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.4859,                 1.2583,                 1.3594,                0.63587,                0.47382,                0.52038,                0.30586,                 1.3075,                 1.0308,                 1.3824,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.4577,                 1.2485,                 1.3715,                0.59724,                0.52356,                0.54065,                0.31235,                 1.3775,                0.97994,                 1.4417,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.4755,                 1.2159,                 1.3422,                0.64342,                0.49741,                0.54822,                 0.3288,                 1.2846,                0.92234,                 1.3529,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.4349,                  1.226,                 1.3394,                0.62625,                 0.5071,                0.54498,                0.33241,                 1.2845,                0.93856,                 1.3617,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.4199,                 1.1518,                 1.3365,                0.64309,                0.50803,                0.57702,                0.35311,                 1.2653,                0.89884,                 1.3507,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.4138,                 1.1586,                 1.3137,                0.59272,                0.52577,                0.55406,                0.33574,                 1.2538,                0.88233,                 1.3362,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.3999,                 1.1555,                 1.3452,                0.62997,                0.50214,                0.56162,                0.34216,                 1.2629,                0.88563,                 1.3218,              0.0011036,              0.0011036,              0.0011036
                     25,                  1.372,                 1.0883,                 1.3053,                0.59286,                0.53071,                0.56611,                0.33686,                 1.2689,                 0.8804,                 1.3258,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.3499,                  1.084,                 1.2905,                0.59659,                0.55198,                  0.561,                0.34075,                 1.3366,                0.91722,                 1.4114,              0.0010753,              0.0010753,              0.0010753
                     27,                 1.3767,                 1.1192,                 1.3137,                0.61014,                0.54386,                0.59099,                0.36001,                 1.2475,                0.86983,                 1.3103,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.3553,                 1.1154,                 1.2819,                0.57293,                0.61297,                0.57186,                0.34562,                 1.2625,                0.93019,                 1.3214,               0.001047,               0.001047,               0.001047
                     29,                 1.3679,                 1.0679,                 1.2848,                0.65199,                0.49567,                0.58693,                0.35318,                 1.2767,                 0.8618,                 1.3061,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.3431,                 1.0767,                 1.2849,                 0.6183,                0.59314,                0.59083,                0.35993,                 1.2129,                0.86324,                 1.3002,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.3343,                 1.1091,                 1.2787,                0.59303,                0.56693,                0.59116,                0.36366,                 1.2101,                0.84229,                 1.2905,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.3236,                 1.0701,                 1.2673,                0.62084,                0.57992,                  0.589,                0.35437,                 1.2527,                0.88211,                  1.297,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.3089,                 1.0419,                 1.2541,                0.58021,                0.58344,                0.59789,                0.37369,                 1.2394,                0.84322,                 1.2896,             0.00097629,             0.00097629,             0.00097629
                     34,                 1.3108,                  1.026,                 1.2485,                 0.6756,                0.58824,                0.62571,                0.38828,                  1.199,                0.80236,                 1.2706,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.2699,                0.99686,                 1.2506,                0.67198,                0.62615,                0.67503,                 0.4195,                 1.2009,                0.79576,                  1.283,               0.000948,               0.000948,               0.000948
                     36,                 1.2666,                  1.016,                 1.2399,                0.61596,                0.60344,                0.61238,                0.39084,                  1.174,                0.84415,                 1.2597,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.2776,                0.99999,                 1.2292,                0.58542,                0.60809,                0.58335,                0.36212,                 1.2042,                0.84136,                 1.2781,              0.0009197,              0.0009197,              0.0009197
                     38,                  1.298,                 1.0002,                 1.2536,                0.62315,                0.63439,                0.62502,                0.38971,                 1.1861,                 0.8212,                 1.2703,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.2645,                 0.9988,                 1.2429,                0.67761,                0.55947,                0.61029,                0.37441,                 1.2177,                0.79569,                 1.2745,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.2582,                0.95661,                  1.208,                0.63401,                0.61933,                 0.6073,                0.37901,                 1.2058,                0.81003,                 1.2647,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.2542,                0.96914,                 1.2252,                0.79593,                0.60494,                0.68562,                0.42638,                 1.1677,                0.77427,                 1.2417,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.2503,                0.96014,                 1.2276,                0.71316,                0.60364,                0.64939,                0.39922,                 1.1825,                0.78841,                 1.2622,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.2502,                0.96403,                  1.213,                0.76419,                0.56936,                0.66236,                0.39931,                 1.2056,                0.79842,                 1.2679,             0.00083482,             0.00083482,             0.00083482
                     44,                 1.2258,                0.93631,                 1.2263,                0.74127,                0.61952,                0.68637,                0.42635,                 1.1909,                0.76256,                 1.2584,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.2497,                0.99012,                 1.2127,                0.70834,                0.66822,                0.65853,                0.41619,                 1.1558,                0.75487,                 1.2331,             0.00080653,             0.00080653,             0.00080653
                     46,                 1.2467,                0.94012,                 1.2141,                0.67259,                0.63001,                 0.6648,                0.42643,                 1.1564,                0.78479,                 1.2415,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.2203,                0.97156,                 1.2251,                0.74664,                0.60488,                0.67019,                0.41322,                 1.2001,                0.76318,                 1.2669,             0.00077823,             0.00077823,             0.00077823
                     48,                 1.2408,                0.92873,                 1.1898,                0.70357,                 0.6704,                0.66243,                0.41646,                 1.1729,                0.76599,                 1.2507,             0.00076409,             0.00076409,             0.00076409
                     49,                  1.209,                0.95108,                 1.1896,                0.70347,                0.67084,                0.67214,                0.42376,                 1.1773,                0.74323,                 1.2351,             0.00074994,             0.00074994,             0.00074994
                     50,                  1.212,                0.94371,                 1.2034,                0.66947,                0.67958,                0.68539,                0.42618,                 1.1724,                0.73456,                 1.2457,             0.00073579,             0.00073579,             0.00073579
                     51,                 1.2254,                 0.9221,                 1.2041,                0.69356,                0.61188,                0.66333,                0.41495,                 1.1941,                0.77501,                 1.2585,             0.00072164,             0.00072164,             0.00072164
                     52,                 1.2224,                0.91346,                 1.1914,                0.68061,                0.67143,                0.66489,                0.43706,                 1.1361,                0.78018,                 1.2165,              0.0007075,              0.0007075,              0.0007075
                     53,                 1.2201,                0.91811,                  1.194,                0.73066,                0.58988,                0.66207,                0.42888,                 1.1621,                0.78715,                 1.2411,             0.00069335,             0.00069335,             0.00069335
                     54,                 1.2035,                0.89449,                  1.193,                0.69905,                 0.6862,                0.70938,                0.43708,                  1.157,                0.72176,                 1.2291,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.1772,                 0.9126,                 1.1895,                0.71991,                0.67656,                0.69396,                0.43369,                 1.1617,                0.73174,                 1.2357,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.2124,                0.89925,                  1.171,                 0.7302,                0.65886,                0.66672,                0.42981,                  1.147,                0.73498,                 1.2244,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.2051,                0.89331,                 1.1727,                0.71067,                 0.6711,                0.68938,                 0.4309,                 1.1872,                0.74824,                 1.2486,             0.00063676,             0.00063676,             0.00063676
                     58,                  1.205,                0.87398,                 1.1736,                0.69956,                0.70233,                0.69125,                0.43674,                 1.1394,                0.70529,                 1.2148,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.2053,                0.89314,                 1.1901,                0.74325,                0.65051,                0.70159,                0.45925,                 1.1151,                0.73714,                 1.2015,             0.00060847,             0.00060847,             0.00060847
                     60,                  1.183,                0.90526,                 1.1851,                0.74545,                0.68747,                0.72687,                0.46199,                 1.1511,                0.74819,                 1.2208,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.1805,                0.88283,                 1.1796,                0.72135,                0.67407,                0.70784,                0.44284,                 1.1631,                0.78517,                 1.2431,             0.00058017,             0.00058017,             0.00058017
                     62,                  1.176,                0.88837,                 1.1759,                 0.7121,                0.69142,                0.69492,                0.44749,                 1.1357,                0.78042,                 1.2118,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.1719,                0.86388,                 1.1707,                0.78321,                0.66224,                0.71734,                0.46923,                 1.1181,                0.72996,                 1.2006,             0.00055188,             0.00055188,             0.00055188
                     64,                 1.1727,                0.87441,                 1.1556,                0.76515,                0.64033,                0.69573,                0.43863,                 1.1637,                0.76081,                 1.2293,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.1819,                0.88848,                 1.1841,                0.71909,                 0.6036,                0.67473,                0.44199,                 1.1303,                0.79092,                 1.2138,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.1451,                0.84211,                 1.1498,                0.75675,                0.65594,                0.72175,                0.47181,                  1.132,                0.75387,                 1.2148,             0.00050944,             0.00050944,             0.00050944
                     67,                 1.1595,                0.84947,                 1.1645,                0.66988,                  0.654,                0.70808,                0.46065,                 1.1249,                0.75596,                  1.205,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.1498,                0.82859,                 1.1627,                0.71337,                0.63463,                0.67874,                   0.44,                 1.1465,                0.82599,                 1.2199,             0.00048114,             0.00048114,             0.00048114
                     69,                 1.1452,                0.83552,                 1.1512,                0.73024,                0.68461,                0.71589,                0.45836,                 1.1319,                0.74079,                 1.2042,               0.000467,               0.000467,               0.000467
                     70,                  1.147,                0.86012,                 1.1491,                0.66757,                0.64904,                0.68091,                0.45442,                 1.1156,                0.74796,                 1.2051,             0.00045285,             0.00045285,             0.00045285
                     71,                 1.1333,                0.82391,                 1.1466,                0.68775,                0.66553,                0.70002,                0.45552,                 1.1185,                0.70331,                 1.2044,              0.0004387,              0.0004387,              0.0004387
                     72,                 1.1549,                0.82923,                  1.145,                0.75431,                0.62381,                0.68837,                0.45365,                 1.1017,                 0.7728,                 1.1918,             0.00042456,             0.00042456,             0.00042456
                     73,                 1.1205,                0.84236,                 1.1497,                0.74286,                0.56282,                0.67091,                0.44264,                 1.1243,                0.89537,                 1.2116,             0.00041041,             0.00041041,             0.00041041
                     74,                 1.1271,                0.81618,                 1.1516,                0.65431,                0.66589,                0.67507,                0.44633,                 1.1189,                0.78054,                  1.201,             0.00039626,             0.00039626,             0.00039626
                     75,                 1.1393,                0.82016,                 1.1409,                0.76563,                0.56968,                0.67739,                0.43755,                 1.1268,                0.80484,                 1.2056,             0.00038211,             0.00038211,             0.00038211
                     76,                 1.1356,                0.82286,                 1.1461,                0.74237,                0.67873,                0.71623,                0.46755,                  1.114,                0.72336,                 1.1918,             0.00036797,             0.00036797,             0.00036797
                     77,                 1.1294,                0.78163,                 1.1252,                0.73681,                0.65892,                0.69499,                 0.4508,                 1.1346,                0.83427,                  1.214,             0.00035382,             0.00035382,             0.00035382
                     78,                 1.1287,                0.81736,                 1.1467,                0.67583,                0.66037,                0.69403,                0.45425,                 1.1496,                  0.821,                  1.222,             0.00033967,             0.00033967,             0.00033967
                     79,                 1.1074,                0.79244,                 1.1296,                0.72177,                0.62681,                0.69232,                0.45115,                 1.1291,                0.85116,                 1.2103,             0.00032553,             0.00032553,             0.00032553
                     80,                 1.0978,                0.78403,                 1.1446,                0.72033,                0.62284,                0.69353,                0.45656,                 1.1168,                0.78672,                  1.205,             0.00031138,             0.00031138,             0.00031138
                     81,                 1.1212,                0.81424,                  1.127,                0.77665,                0.60324,                0.69672,                 0.4475,                 1.1175,                0.79334,                  1.201,             0.00029723,             0.00029723,             0.00029723
                     82,                 1.0846,                0.79413,                 1.1282,                0.76109,                0.61919,                0.67897,                0.44814,                  1.117,                0.82651,                 1.2032,             0.00028308,             0.00028308,             0.00028308
                     83,                 1.1154,                0.77853,                   1.14,                0.77627,                0.60608,                0.69063,                0.45975,                 1.1008,                0.84434,                 1.1943,             0.00026894,             0.00026894,             0.00026894
                     84,                  1.076,                 0.7973,                 1.1181,                0.76705,                0.55046,                 0.6453,                0.43077,                 1.1278,                  1.006,                 1.2199,             0.00025479,             0.00025479,             0.00025479
                     85,                 1.1289,                0.78537,                 1.1272,                  0.757,                0.63526,                0.72186,                0.47627,                 1.1104,                0.84859,                 1.1977,             0.00024064,             0.00024064,             0.00024064
                     86,                 1.1103,                0.77655,                 1.1215,                0.75019,                0.65746,                0.72049,                0.47794,                  1.094,                0.79638,                 1.1858,              0.0002265,              0.0002265,              0.0002265
                     87,                 1.0971,                 0.7736,                 1.1192,                0.75388,                0.60953,                0.69675,                0.45757,                 1.1113,                0.83438,                 1.1993,             0.00021235,             0.00021235,             0.00021235
                     88,                 1.0941,                0.77584,                 1.1211,                0.85316,                0.58865,                0.68181,                0.45727,                 1.1175,                0.90758,                 1.2043,              0.0001982,              0.0001982,              0.0001982
                     89,                 1.0849,                0.78155,                 1.1247,                 0.8086,                0.58899,                0.68787,                0.45234,                 1.1202,                0.86911,                 1.2059,             0.00018406,             0.00018406,             0.00018406
                     90,                 1.0799,                0.76586,                   1.11,                0.87776,                0.58547,                0.69441,                0.44799,                 1.1254,                0.84405,                 1.2062,             0.00016991,             0.00016991,             0.00016991
                     91,                 1.0488,                0.74408,                 1.1051,                0.85584,                0.61869,                0.73014,                0.47194,                 1.1108,                0.75814,                 1.1905,             0.00015576,             0.00015576,             0.00015576
                     92,                 1.0344,                0.75021,                 1.1117,                0.80706,                0.61187,                0.71087,                0.47107,                 1.1161,                0.89743,                 1.2028,             0.00014161,             0.00014161,             0.00014161
                     93,                  1.028,                0.75017,                 1.1091,                0.82017,                 0.6055,                0.71965,                0.47572,                 1.1022,                0.84598,                 1.1868,             0.00012747,             0.00012747,             0.00012747
                     94,                 1.0246,                0.72531,                 1.1033,                0.84791,                0.55888,                0.66459,                0.44482,                   1.12,                0.98533,                 1.2047,             0.00011332,             0.00011332,             0.00011332
                     95,                 1.0379,                0.73183,                 1.1116,                0.80883,                0.61371,                0.71147,                0.46131,                 1.1154,                0.83253,                  1.197,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                 1.0163,                0.69787,                 1.0893,                0.74755,                0.59373,                0.68376,                0.45088,                 1.1148,                0.92459,                 1.2001,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                 1.0239,                0.69551,                 1.1021,                0.76476,                0.60283,                0.69733,                0.46474,                 1.0991,                0.87431,                 1.1871,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 1.0359,                0.69988,                 1.1053,                0.86038,                0.54034,                0.67127,                0.44915,                 1.1196,                0.96364,                 1.2035,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.99361,                0.69785,                 1.0957,                0.74004,                0.60664,                0.67307,                0.45206,                 1.1147,                0.94131,                 1.1981,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                 1.0172,                0.71336,                 1.1036,                0.83087,                0.54177,                0.66579,                0.44435,                 1.1162,                0.99124,                 1.2014,             2.8437e-05,             2.8437e-05,             2.8437e-05
